decision_id,decision_type,action,entity_type,entity_id,issuer_id,legal_entity_id,plant_id,group_id,name,layer,registration_source,inclusion_reason,exclusion_reason,evidence_anchor,source_url,query_date,decision_owner,decision_date,decision_status,double_count_key,notes
h1-include-1242,manual_include,include,issuer,issuer:TW:3354,issuer:TW:3354,-,-,-,律勝,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3354,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3354,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1243,manual_include,include,issuer,issuer:TW:3357,issuer:TW:3357,-,-,-,臺慶科,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3357,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3357,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1244,manual_include,include,issuer,issuer:TW:3360,issuer:TW:3360,-,-,-,尚立,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3360,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3360,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1245,manual_include,include,issuer,issuer:TW:3362,issuer:TW:3362,-,-,-,先進光,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3362,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3362,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1246,manual_include,include,issuer,issuer:TW:3363,issuer:TW:3363,-,-,-,上詮,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3363,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3363,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1247,manual_include,include,issuer,issuer:TW:3372,issuer:TW:3372,-,-,-,典範,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3372,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3372,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1248,manual_include,include,issuer,issuer:TW:3373,issuer:TW:3373,-,-,-,熱映,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3373,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3373,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1249,manual_include,include,issuer,issuer:TW:3374,issuer:TW:3374,-,-,-,精材,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3374,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3374,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1250,manual_include,include,issuer,issuer:TW:3379,issuer:TW:3379,-,-,-,彬台,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3379,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3379,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1251,manual_include,include,issuer,issuer:TW:3388,issuer:TW:3388,-,-,-,崇越電,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3388,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3388,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1252,manual_include,include,issuer,issuer:TW:3390,issuer:TW:3390,-,-,-,旭軟,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3390,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3390,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1253,manual_include,include,issuer,issuer:TW:3402,issuer:TW:3402,-,-,-,漢科,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3402,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3402,H1 人闸批准；仅在本行 product_scope 内有效。
h1-include-1254,manual_include,include,issuer,issuer:TW:3430,issuer:TW:3430,-,-,-,奇鈦科,L2,TPEx OpenAPI 上櫃股票基本資料（完整母集）,冻结 2026-08-28 TWSE+TPEx（不含兴柜）L2 机械母集,-,human-gate://2026-08-28/H1/issuer:TW:3430,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_O,2026-08-28,user,2026-08-28,已裁决,l2:TPEX:3430,H1 人闸批准；仅在本行 product_scope 内有效。
